Players,Final Price,DateTimeStr,
30547,604.5,1/1/2017,
34504,1209,1/2/2017,
30129,1209,1/3/2017,
28738,1209,1/4/2017,
28180,1209,1/5/2017,
30472,1209,1/6/2017,
33358,1209,1/7/2017,
31922,1209,1/8/2017,
25360,1209,1/9/2017,
24998,1209,1/10/2017,
24388,1209,1/11/2017,
24502,1209,1/12/2017,
27802,1209,1/13/2017,
31686,1209,1/14/2017,
31564,1209,1/15/2017,
28007,1209,1/16/2017,
25030,1209,1/17/2017,
25516,1209,1/18/2017,
24352,1209,1/19/2017,
26784,1209,1/20/2017,
30426,1209,1/21/2017,
30774,1209,1/22/2017,
24019,1209,1/23/2017,
23687,1209,1/24/2017,
23785,1209,1/25/2017,
23197,1209,1/26/2017,
25771,1209,1/27/2017,
29299,1209,1/28/2017,
30507,1209,1/29/2017,
24139,1209,1/30/2017,
23790,1209,1/31/2017,
23820,1209,2/1/2017,
27697,604.5,2/2/2017,
42394,604.5,2/3/2017,
59199,604.5,2/4/2017,
65010,604.5,2/5/2017,
41778,1209,2/6/2017,
46259,1209,2/7/2017,
52115,1209,2/8/2017,
43122,1209,2/9/2017,
48865,1209,2/10/2017,
54908,1209,2/11/2017,
52661,1209,2/12/2017,
39276,1209,2/13/2017,
37869,1209,2/14/2017,
38708,1209,2/15/2017,
36699,1209,2/16/2017,
41646,1209,2/17/2017,
48737,1209,2/18/2017,
44002,1209,2/19/2017,
36401,1209,2/20/2017,
35515,1209,2/21/2017,
35279,449,2/22/2017,
32482,449,2/23/2017,
36744,449,2/24/2017,
44197,449,2/25/2017,
43672,449,2/26/2017,
35329,449,2/27/2017,
34951,449,2/28/2017,
34112,449,3/1/2017,
33415,449,3/2/2017,
37172,449,3/3/2017,
45103,449,3/4/2017,
41238,449,3/5/2017,
29423,449,3/6/2017,
29255,449,3/7/2017,
30634,449,3/8/2017,
30430,449,3/9/2017,
38095,449,3/10/2017,
44651,449,3/11/2017,
40452,449,3/12/2017,
30873,449,3/13/2017,
32476,449,3/14/2017,
36149,449,3/15/2017,
32022,449,3/16/2017,
38519,449,3/17/2017,
46984,449,3/18/2017,
44089,449,3/19/2017,
30988,449,3/20/2017,
20325,449,3/21/2017,
15442,449,3/22/2017,
29319,449,3/23/2017,
37241,449,3/24/2017,
47655,449,3/25/2017,
45447,449,3/26/2017,
35486,449,3/27/2017,
31674,449,3/28/2017,
38388,449,3/29/2017,
35049,449,3/30/2017,
38028,449,3/31/2017,
46815,449,4/1/2017,
45794,449,4/2/2017,
36881,449,4/3/2017,
32982,449,4/4/2017,
35431,449,4/5/2017,
34701,449,4/6/2017,
38788,449,4/7/2017,
45283,449,4/8/2017,
40663,449,4/9/2017,
31869,449,4/10/2017,
33368,449,4/11/2017,
31830,449,4/12/2017,
33275,449,4/13/2017,
41249,449,4/14/2017,
41408,449,4/15/2017,
35431,449,4/16/2017,
33931,449,4/17/2017,
30520,449,4/18/2017,
31243,449,4/19/2017,
34123,449,4/20/2017,
41322,449,4/21/2017,
43843,449,4/22/2017,
41425,449,4/23/2017,
32632,449,4/24/2017,
31724,449,4/25/2017,
31812,449,4/26/2017,
27318,449,4/27/2017,
38046,449,4/28/2017,
40762,449,4/29/2017,
39098,449,4/30/2017,
34663,449,5/1/2017,
29560,449,5/2/2017,
32770,449,5/3/2017,
31659,449,5/4/2017,
36446,449,5/5/2017,
41734,449,5/6/2017,
38679,449,5/7/2017,
32644,449,5/8/2017,
32496,449,5/9/2017,
32427,449,5/10/2017,
31080,449,5/11/2017,
38553,449,5/12/2017,
42961,449,5/13/2017,
39438,449,5/14/2017,
30307,449,5/15/2017,
31276,449,5/16/2017,
28084,449,5/17/2017,
31227,449,5/18/2017,
38575,449,5/19/2017,
44112,449,5/20/2017,
41247,449,5/21/2017,
34149,449,5/22/2017,
35380,449,5/23/2017,
33858,449,5/24/2017,
37099,449,5/25/2017,
36806,449,5/26/2017,
42580,449,5/27/2017,
41757,449,5/28/2017,
37841,449,5/29/2017,
34362,449,5/30/2017,
33716,449,5/31/2017,
32332,449,6/1/2017,
37401,449,6/2/2017,
41789,449,6/3/2017,
39881,449,6/4/2017,
32524,449,6/5/2017,
41872,449,6/6/2017,
36008,449,6/7/2017,
38813,449,6/8/2017,
40013,449,6/9/2017,
43245,449,6/10/2017,
39932,449,6/11/2017,
33613,449,6/12/2017,
33401,449,6/13/2017,
33488,449,6/14/2017,
34020,449,6/15/2017,
37120,449,6/16/2017,
39479,449,6/17/2017,
36015,449,6/18/2017,
31938,449,6/19/2017,
33326,449,6/20/2017,
34105,449,6/21/2017,
33281,449,6/22/2017,
36018,449,6/23/2017,
39512,449,6/24/2017,
37887,449,6/25/2017,
34256,449,6/26/2017,
36331,449,6/27/2017,
36339,449,6/28/2017,
36616,449,6/29/2017,
39700,449,6/30/2017,
40825,449,7/1/2017,
40708,449,7/2/2017,
37191,449,7/3/2017,
38908,449,7/4/2017,
40157,449,7/5/2017,
32907,529,7/6/2017,
40187,529,7/7/2017,
40925,529,7/8/2017,
40866,529,7/9/2017,
38919,529,7/10/2017,
40072,529,7/11/2017,
40185,529,7/12/2017,
39358,529,7/13/2017,
39883,529,7/14/2017,
40710,529,7/15/2017,
40948,529,7/16/2017,
37202,529,7/17/2017,
41428,529,7/18/2017,
47328,529,7/19/2017,
44865,529,7/20/2017,
45400,529,7/21/2017,
44982,529,7/22/2017,
45683,529,7/23/2017,
46943,529,7/24/2017,
44500,529,7/25/2017,
43782,529,7/26/2017,
45642,529,7/27/2017,
42977,349,7/28/2017,
44938,349,7/29/2017,
44341,349,7/30/2017,
43001,349,7/31/2017,
44625,349,8/1/2017,
43815,349,8/2/2017,
43416,349,8/3/2017,
42986,349,8/4/2017,
46276,349,8/5/2017,
45979,349,8/6/2017,
42329,349,8/7/2017,
43224,349,8/8/2017,
41609,349,8/9/2017,
45223,349,8/10/2017,
45045,349,8/11/2017,
47407,349,8/12/2017,
47100,349,8/13/2017,
44519,349,8/14/2017,
46707,349,8/15/2017,
45407,349,8/16/2017,
45989,349,8/17/2017,
46772,349,8/18/2017,
49317,349,8/19/2017,
52824,349,8/20/2017,
44338,349,8/21/2017,
45610,349,8/22/2017,
48113,349,8/23/2017,
46362,349,8/24/2017,
61243,349,8/25/2017,
71400,349,8/26/2017,
73864,349,8/27/2017,
56503,349,8/28/2017,
56919,349,8/29/2017,
52762,349,8/30/2017,
50562,349,8/31/2017,
55089,349,9/1/2017,
60044,349,9/2/2017,
56966,349,9/3/2017,
50387,349,9/4/2017,
49224,349,9/5/2017,
61969,349,9/6/2017,
60038,349,9/7/2017,
63409,349,9/8/2017,
70963,349,9/9/2017,
67816,349,9/10/2017,
51417,349,9/11/2017,
54074,349,9/12/2017,
56361,349,9/13/2017,
52066,349,9/14/2017,
63555,349,9/15/2017,
67376,349,9/16/2017,
62374,349,9/17/2017,
45734,349,9/18/2017,
44249,349,9/19/2017,
50664,349,9/20/2017,
48481,349,9/21/2017,
53989,349,9/22/2017,
62385,349,9/23/2017,
60212,349,9/24/2017,
42692,349,9/25/2017,
42612,349,9/26/2017,
45246,349,9/27/2017,
41854,349,9/28/2017,
51542,349,9/29/2017,
62054,349,9/30/2017,
57167,349,10/1/2017,
49812,349,10/2/2017,
52916,349,10/3/2017,
46581,349,10/4/2017,
48899,349,10/5/2017,
51618,349,10/6/2017,
60052,349,10/7/2017,
54896,349,10/8/2017,
42914,349,10/9/2017,
41356,349,10/10/2017,
40974,349,10/11/2017,
40959,349,10/12/2017,
47892,349,10/13/2017,
54539,349,10/14/2017,
49446,349,10/15/2017,
37049,349,10/16/2017,
40572,349,10/17/2017,
38731,349,10/18/2017,
37556,349,10/19/2017,
47256,349,10/20/2017,
55693,349,10/21/2017,
49840,349,10/22/2017,
39817,349,10/23/2017,
37477,349,10/24/2017,
39835,349,10/25/2017,
39820,349,10/26/2017,
49336,349,10/27/2017,
54731,349,10/28/2017,
49101,349,10/29/2017,
39094,349,10/30/2017,
40934,349,10/31/2017,
41172,349,11/1/2017,
41726,349,11/2/2017,
49120,349,11/3/2017,
53742,349,11/4/2017,
49633,349,11/5/2017,
35734,349,11/6/2017,
37155,349,11/7/2017,
35528,349,11/8/2017,
34556,349,11/9/2017,
46161,349,11/10/2017,
52214,349,11/11/2017,
46899,349,11/12/2017,
34239,349,11/13/2017,
34916,349,11/14/2017,
34548,349,11/15/2017,
36732,174.5,11/16/2017,
63909,174.5,11/17/2017,
93584,174.5,11/18/2017,
96599,174.5,11/19/2017,
73222,349,11/20/2017,
71280,174.5,11/21/2017,
71467,174.5,11/22/2017,
69509,174.5,11/23/2017,
84895,174.5,11/24/2017,
99655,174.5,11/25/2017,
95402,174.5,11/26/2017,
74808,174.5,11/27/2017,
75123,349,11/28/2017,
79865,349,11/29/2017,
74824,349,11/30/2017,
89333,349,12/1/2017,
98992,349,12/2/2017,
91042,349,12/3/2017,
69839,349,12/4/2017,
70620,349,12/5/2017,
85261,349,12/6/2017,
82604,349,12/7/2017,
90701,349,12/8/2017,
100845,349,12/9/2017,
93341,349,12/10/2017,
70966,349,12/11/2017,
68414,349,12/12/2017,
73472,349,12/13/2017,
61218,349,12/14/2017,
81503,349,12/15/2017,
95518,349,12/16/2017,
82371,349,12/17/2017,
68898,349,12/18/2017,
72470,349,12/19/2017,
76339,349,12/20/2017,
80476,209.4,12/21/2017,
88812,209.4,12/22/2017,
92471,209.4,12/23/2017,
84658,209.4,12/24/2017,
77995,209.4,12/25/2017,
86983,209.4,12/26/2017,
92090,209.4,12/27/2017,
92155,209.4,12/28/2017,
96539,209.4,12/29/2017,
99035,209.4,12/30/2017,
95477,209.4,12/31/2017,
87474,209.4,1/1/2018,
90574,209.4,1/2/2018,
88547,209.4,1/3/2018,
92955,349,1/4/2018,
102587,349,1/5/2018,
109318,349,1/6/2018,
102226,349,1/7/2018,
80542,349,1/8/2018,
78834,349,1/9/2018,
80999,349,1/10/2018,
79497,349,1/11/2018,
91391,349,1/12/2018,
107452,349,1/13/2018,
97520,349,1/14/2018,
79231,349,1/15/2018,
77053,349,1/16/2018,
79287,349,1/17/2018,
79366,349,1/18/2018,
88238,349,1/19/2018,
100428,349,1/20/2018,
94972,349,1/21/2018,
85102,349,1/22/2018,
71072,349,1/23/2018,
82543,349,1/24/2018,
82954,349,1/25/2018,
85414,349,1/26/2018,
96554,349,1/27/2018,
95701,349,1/28/2018,
74595,349,1/29/2018,
80850,349,1/30/2018,
77290,349,1/31/2018,
80086,349,2/1/2018,
89437,349,2/2/2018,
99612,349,2/3/2018,
99184,349,2/4/2018,
77394,349,2/5/2018,
79990,349,2/6/2018,
85371,349,2/7/2018,
81674,349,2/8/2018,
88099,349,2/9/2018,
98058,349,2/10/2018,
99128,349,2/11/2018,
82961,349,2/12/2018,
82384,349,2/13/2018,
76498,349,2/14/2018,
83156,349,2/15/2018,
97797,349,2/16/2018,
116140,349,2/17/2018,
125454,349,2/18/2018,
99430,349,2/19/2018,
96798,349,2/20/2018,
96344,349,2/21/2018,
94184,349,2/22/2018,
110336,349,2/23/2018,
121054,349,2/24/2018,
119290,349,2/25/2018,
97181,349,2/26/2018,
100533,349,2/27/2018,
103176,349,2/28/2018,
106002,349,3/1/2018,
119563,349,3/2/2018,
133106,349,3/3/2018,
123702,349,3/4/2018,
101042,349,3/5/2018,
117007,349,3/6/2018,
176784,349,3/7/2018,
153274,349,3/8/2018,
162181,349,3/9/2018,
178953,349,3/10/2018,
161990,349,3/11/2018,
123333,349,3/12/2018,
123552,349,3/13/2018,
110788,349,3/14/2018,
118957,349,3/15/2018,
138714,349,3/16/2018,
152188,349,3/17/2018,
139913,349,3/18/2018,
92766,349,3/19/2018,
100055,349,3/20/2018,
113768,349,3/21/2018,
107697,349,3/22/2018,
127072,349,3/23/2018,
144311,349,3/24/2018,
143612,349,3/25/2018,
113769,349,3/26/2018,
112499,349,3/27/2018,
114548,349,3/28/2018,
114748,349,3/29/2018,
130504,349,3/30/2018,
131928,349,3/31/2018,
116954,349,4/1/2018,
112092,349,4/2/2018,
106402,349,4/3/2018,
115611,349,4/4/2018,
111211,349,4/5/2018,
113381,349,4/6/2018,
114997,349,4/7/2018,
111651,349,4/8/2018,
97062,349,4/9/2018,
99065,349,4/10/2018,
99836,349,4/11/2018,
103153,349,4/12/2018,
116529,349,4/13/2018,
125070,349,4/14/2018,
115606,349,4/15/2018,
98763,349,4/16/2018,
100741,349,4/17/2018,
102921,349,4/18/2018,
99486,349,4/19/2018,
114101,349,4/20/2018,
122786,349,4/21/2018,
109659,349,4/22/2018,
94883,349,4/23/2018,
95809,349,4/24/2018,
94304,349,4/25/2018,
94136,349,4/26/2018,
104382,349,4/27/2018,
114224,349,4/28/2018,
111034,349,4/29/2018,
104954,349,4/30/2018,
101234,349,5/1/2018,
95123,349,5/2/2018,
92726,349,5/3/2018,
114267,349,5/4/2018,
115247,349,5/5/2018,
105536,349,5/6/2018,
90823,239,5/7/2018,
94746,239,5/8/2018,
95171,239,5/9/2018,
95557,239,5/10/2018,
103776,349,5/11/2018,
112276,349,5/12/2018,
102137,349,5/13/2018,
91782,349,5/14/2018,
87907,349,5/15/2018,
88788,349,5/16/2018,
90882,233.83,5/17/2018,
121151,233.83,5/18/2018,
142308,233.83,5/19/2018,
132135,233.83,5/20/2018,
126584,349,5/21/2018,
119771,349,5/22/2018,
111129,349,5/23/2018,
88049,349,5/24/2018,
124443,349,5/25/2018,
128728,349,5/26/2018,
116412,349,5/27/2018,
94252,349,5/28/2018,
102977,349,5/29/2018,
102086,349,5/30/2018,
100383,349,5/31/2018,
112414,349,6/1/2018,
118663,349,6/2/2018,
109559,349,6/3/2018,
95674,349,6/4/2018,
100292,349,6/5/2018,
99107,349,6/6/2018,
113277,349,6/7/2018,
143183,349,6/8/2018,
138078,349,6/9/2018,
126963,349,6/10/2018,
107252,349,6/11/2018,
107971,349,6/12/2018,
103912,349,6/13/2018,
105130,349,6/14/2018,
108109,349,6/15/2018,
107182,349,6/16/2018,
110746,349,6/17/2018,
94083,349,6/18/2018,
95176,349,6/19/2018,
84967,349,6/20/2018,
96030,349,6/21/2018,
102882,349,6/22/2018,
104886,349,6/23/2018,
102018,349,6/24/2018,
92010,349,6/25/2018,
94587,349,6/26/2018,
96400,349,6/27/2018,
91241,349,6/28/2018,
92605,349,6/29/2018,
97915,349,6/30/2018,
95867,349,7/1/2018,
90938,349,7/2/2018,
94167,349,7/3/2018,
101689,349,7/4/2018,
101223,349,7/5/2018,
105094,349,7/6/2018,
107758,349,7/7/2018,
103735,349,7/8/2018,
100118,349,7/9/2018,
103368,349,7/10/2018,
104640,349,7/11/2018,
101519,349,7/12/2018,
105175,349,7/13/2018,
103839,349,7/14/2018,
105208,349,7/15/2018,
102451,349,7/16/2018,
110262,349,7/17/2018,
115114,349,7/18/2018,
109919,349,7/19/2018,
112900,349,7/20/2018,
114890,349,7/21/2018,
117024,349,7/22/2018,
101733,349,7/23/2018,
103414,349,7/24/2018,
101492,349,7/25/2018,
99899,349,7/26/2018,
99937,349,7/27/2018,
100351,349,7/28/2018,
100890,349,7/29/2018,
98632,349,7/30/2018,
97898,349,7/31/2018,
98429,349,8/1/2018,
98668,349,8/2/2018,
99352,349,8/3/2018,
101525,349,8/4/2018,
104660,349,8/5/2018,
101685,349,8/6/2018,
102510,349,8/7/2018,
103377,349,8/8/2018,
99770,349,8/9/2018,
92390,349,8/10/2018,
95825,349,8/11/2018,
96412,349,8/12/2018,
94901,349,8/13/2018,
98694,349,8/14/2018,
96687,349,8/15/2018,
95486,244.3,8/16/2018,
115832,244.3,8/17/2018,
130546,244.3,8/18/2018,
135451,244.3,8/19/2018,
130937,349,8/20/2018,
115763,349,8/21/2018,
127904,349,8/22/2018,
117509,349,8/23/2018,
119387,349,8/24/2018,
125197,349,8/25/2018,
123400,349,8/26/2018,
112769,349,8/27/2018,
113633,349,8/28/2018,
111728,349,8/29/2018,
109767,349,8/30/2018,
116400,349,8/31/2018,
120196,349,9/1/2018,
114438,349,9/2/2018,
103969,349,9/3/2018,
100068,349,9/4/2018,
131179,349,9/5/2018,
115465,349,9/6/2018,
132514,349,9/7/2018,
143730,349,9/8/2018,
133116,349,9/9/2018,
106701,349,9/10/2018,
115973,349,9/11/2018,
109740,450,9/12/2018,
102976,450,9/13/2018,
121226,450,9/14/2018,
135045,450,9/15/2018,
125152,450,9/16/2018,
96234,450,9/17/2018,
84296,450,9/18/2018,
92501,450,9/19/2018,
94771,450,9/20/2018,
111938,450,9/21/2018,
124402,450,9/22/2018,
126777,450,9/23/2018,
93336,450,9/24/2018,
96011,450,9/25/2018,
98224,450,9/26/2018,
93838,450,9/27/2018,
104731,450,9/28/2018,
120925,450,9/29/2018,
128742,450,9/30/2018,
89811,450,10/1/2018,
103859,450,10/2/2018,
103513,450,10/3/2018,
97084,450,10/4/2018,
106187,450,10/5/2018,
123540,450,10/6/2018,
114832,450,10/7/2018,
93751,450,10/8/2018,
91079,450,10/9/2018,
88462,450,10/10/2018,
86674,450,10/11/2018,
104687,450,10/12/2018,
116878,450,10/13/2018,
105244,450,10/14/2018,
81899,450,10/15/2018,
82457,450,10/16/2018,
83135,450,10/17/2018,
74790,450,10/18/2018,
98100,450,10/19/2018,
110389,450,10/20/2018,
98350,450,10/21/2018,
78477,450,10/22/2018,
80593,450,10/23/2018,
81915,450,10/24/2018,
85027,450,10/25/2018,
119919,450,10/26/2018,
123993,450,10/27/2018,
109146,450,10/28/2018,
86014,450,10/29/2018,
83350,450,10/30/2018,
81973,450,10/31/2018,
83860,450,11/1/2018,
92803,450,11/2/2018,
98551,450,11/3/2018,
88432,450,11/4/2018,
67888,1200,11/5/2018,
69185,450,11/6/2018,
69112,450,11/7/2018,
68480,450,11/8/2018,
81381,450,11/9/2018,
95421,450,11/10/2018,
87034,450,11/11/2018,
67068,450,11/12/2018,
69018,450,11/13/2018,
63082,450,11/14/2018,
69210,315,11/15/2018,
93847,315,11/16/2018,
114655,315,11/17/2018,
113514,315,11/18/2018,
86188,315,11/19/2018,
88439,315,11/20/2018,
88184,315,11/21/2018,
87101,315,11/22/2018,
100470,315,11/23/2018,
115938,315,11/24/2018,
106763,315,11/25/2018,
80694,315,11/26/2018,
84153,450,11/27/2018,
77417,450,11/28/2018,
83117,450,11/29/2018,
98156,450,11/30/2018,
118926,450,12/1/2018,
109578,450,12/2/2018,
81308,450,12/3/2018,
74274,450,12/4/2018,
105418,450,12/5/2018,
98490,315,12/6/2018,
109276,315,12/7/2018,
121731,450,12/8/2018,
111757,450,12/9/2018,
86727,450,12/10/2018,
86450,450,12/11/2018,
87966,450,12/12/2018,
87333,450,12/13/2018,
101520,450,12/14/2018,
114102,450,12/15/2018,
104805,450,12/16/2018,
76609,450,12/17/2018,
83902,450,12/18/2018,
85647,450,12/19/2018,
85425,270,12/20/2018,
104888,270,12/21/2018,
113148,270,12/22/2018,
106929,270,12/23/2018,
99220,270,12/24/2018,
113159,270,12/25/2018,
116734,270,12/26/2018,
113423,270,12/27/2018,
120624,270,12/28/2018,
130554,270,12/29/2018,
128939,270,12/30/2018,
121531,270,12/31/2018,
115245,270,1/1/2019,
116029,270,1/2/2019,
116388,450,1/3/2019,
